,id,dish,ingredients
0,70000001056052192,"Шаурма ""Классика"" норм","Ароматный лаваш, капуста, морковь, свежий огурец, МЯСО курицы, соус фирменный, маринованный лук по желанию."
1,70000001056052192,"Шаурма ""Классика"" большая","Ароматный лаваш, капуста, морковь, свежий огурец, МЯСО курицы, соус фирменный, маринованный лук по желанию."
2,70000001056052192,"Шаурма ""Острая"" норм","Шаурма ""Классика"", перец халапеньо, острый соус,любая добавка"
3,70000001056052192,"Шаурма ""Острая"" большая","Шаурма ""Классика"", перец халапеньо, острый соус,любая добавка"
4,70000001056052192,"Шаурма ""Грибная"" норм","Шаурма ""Классика"",жареные грибы,любая добавка"
5,70000001056052192,"Шаурма ""Грибная"" большая","Шаурма ""Классика"",жареные грибы,любая добавка"
6,70000001056052192,"Шаурма ""Сырная"" норм","Шаурма ""Классика"", сыр моцарелла,сырный соус,любая добавка"
7,70000001056052192,"Шаурма ""Сырная"" большая","Шаурма ""Классика"", сыр моцарелла,сырный соус,любая добавка"
8,70000001056052192,"Шаурма ""Томская"" норм","Шаурма ""Классика"", картофель фри,любая добавка"
9,70000001056052192,"Шаурма ""Томская"" большая","Шаурма ""Классика"", картофель фри,любая добавка"
10,70000001056052192,"Шаурма ""Тайская"" норм","Шаурма ""Классика"",жареный лук,соус сладкий тайский чили,любая добавка"
11,70000001056052192,"Шаурма ""Тайская"" большая","Шаурма ""Классика"",жареный лук,соус сладкий тайский чили,любая добавка"
12,70000001056052192,"Шаурма ""Курочка Терияки"" норм","Шаурма ""Классика"",жареный лук,соус терияки,любая добавка"
13,70000001056052192,"Шаурма ""Курочка Терияки"" большая","Шаурма ""Классика"",жареный лук,соус терияки,любая добавка"
14,70000001056052192,"Шаурма ""Клюква-сыр"" норм","Шаурма ""Классика"",творожный сыр,клюквенный соус,любая добавка"
15,70000001056052192,"Шаурма ""Клюква-сыр"" большая","Шаурма ""Классика"",творожный сыр,клюквенный соус,любая добавка"
16,70000001056052192,"Шаурма ""Ананас и моцарелла"" норм","Шаурма ""Классика"",сыр моцарелла,ананас,любая добавка"
