,ingredients,vegetables,meat,seafood,fruits,mushrooms,grains,id,dish,label
0,ароматный лаваш капуста морковь свежий огурец мясо курицы соус фирменный маринованный лук желанию,0.47173226,0.46420142,0.49533704,0.45654103,0.5578534,0.49346703,70000001056052192,"Шаурма ""Классика"" норм",Шаурма
1,ароматный лаваш капуста морковь свежий огурец мясо курицы соус фирменный маринованный лук желанию,0.47173226,0.46420142,0.49533704,0.45654103,0.5578534,0.49346703,70000001056052192,"Шаурма ""Классика"" большая",Шаурма
4,шаурма классика перец халапеньо острый соуслюбая добавка,0.4673719,0.46191922,0.49779615,0.44869855,0.55793387,0.49731842,70000001056052192,"Шаурма ""Острая"" норм",Шаурма
5,шаурма классика перец халапеньо острый соуслюбая добавка,0.4673719,0.46191922,0.49779615,0.44869855,0.55793387,0.49731842,70000001056052192,"Шаурма ""Острая"" большая",Шаурма
6,шаурма классика перец халапеньо острый соуслюбая добавка,0.4673719,0.46191922,0.49779615,0.44869855,0.55793387,0.49731842,70000001056052192,"Шаурма ""Острая"" норм вегетарианская",Вегетарианская шаурма
7,шаурма классика перец халапеньо острый соуслюбая добавка,0.4673719,0.46191922,0.49779615,0.44869855,0.55793387,0.49731842,70000001056052192,"Шаурма ""Острая"" большая вегетарианская",Вегетарианская шаурма
20,шаурма классикажареные грибылюбая добавка,0.4657314,0.46121064,0.50267285,0.45329234,0.55717504,0.4947622,70000001056052192,"Шаурма ""Грибная"" норм",Шаурма
21,шаурма классикажареные грибылюбая добавка,0.4657314,0.46121064,0.50267285,0.45329234,0.55717504,0.4947622,70000001056052192,"Шаурма ""Грибная"" большая",Шаурма
22,шаурма классикажареные грибылюбая добавка,0.4657314,0.46121064,0.50267285,0.45329234,0.55717504,0.4947622,70000001056052192,"Шаурма ""Грибная"" норм вегетарианская",Вегетарианская шаурма
23,шаурма классикажареные грибылюбая добавка,0.4657314,0.46121064,0.50267285,0.45329234,0.55717504,0.4947622,70000001056052192,"Шаурма ""Грибная"" большая вегетарианская",Вегетарианская шаурма
36,шаурма классика сыр моцарелласырный соуслюбая добавка,0.4667914,0.4623977,0.497447,0.44863626,0.55986565,0.49892098,70000001056052192,"Шаурма ""Сырная"" норм",Шаурма
37,шаурма классика сыр моцарелласырный соуслюбая добавка,0.4667914,0.4623977,0.497447,0.44863626,0.55986565,0.49892098,70000001056052192,"Шаурма ""Сырная"" большая",Шаурма
38,шаурма классика сыр моцарелласырный соуслюбая добавка,0.4667914,0.4623977,0.497447,0.44863626,0.55986565,0.49892098,70000001056052192,"Шаурма ""Сырная"" норм вегетарианская",Вегетарианская шаурма
39,шаурма классика сыр моцарелласырный соуслюбая добавка,0.4667914,0.4623977,0.497447,0.44863626,0.55986565,0.49892098,70000001056052192,"Шаурма ""Сырная"" большая вегетарианская",Вегетарианская шаурма
52,шаурма классика картофель фрилюбая добавка,0.4627443,0.46188238,0.5005487,0.45041257,0.55578685,0.49589798,70000001056052192,"Шаурма ""Томская"" норм",Шаурма
53,шаурма классика картофель фрилюбая добавка,0.4627443,0.46188238,0.5005487,0.45041257,0.55578685,0.49589798,70000001056052192,"Шаурма ""Томская"" большая",Шаурма
54,шаурма классика картофель фрилюбая добавка,0.4627443,0.46188238,0.5005487,0.45041257,0.55578685,0.49589798,70000001056052192,"Шаурма ""Томская"" норм вегетарианская",Вегетарианская шаурма
61,шаурма классикажареный луксоус сладкий тайский чилилюбая добавка,0.46930757,0.46441802,0.49757612,0.45358518,0.5589552,0.4964774,70000001056052192,"Шаурма ""Тайская"" норм",Шаурма
62,шаурма классикажареный луксоус сладкий тайский чилилюбая добавка,0.46930757,0.46441802,0.49757612,0.45358518,0.5589552,0.4964774,70000001056052192,"Шаурма ""Тайская"" большая",Шаурма
65,шаурма классикажареный луксоус териякилюбая добавка,0.46650296,0.46284774,0.4990917,0.45277855,0.5590468,0.4975504,70000001056052192,"Шаурма ""Курочка Терияки"" норм",Шаурма
66,шаурма классикажареный луксоус териякилюбая добавка,0.46650296,0.46284774,0.4990917,0.45277855,0.5590468,0.4975504,70000001056052192,"Шаурма ""Курочка Терияки"" большая",Шаурма
69,шаурма классикатворожный сырклюквенный соуслюбая добавка,0.46685478,0.46128714,0.49858543,0.45357323,0.55890393,0.4970354,70000001056052192,"Шаурма ""Клюква-сыр"" норм",Шаурма
70,шаурма классикатворожный сырклюквенный соуслюбая добавка,0.46685478,0.46128714,0.49858543,0.45357323,0.55890393,0.4970354,70000001056052192,"Шаурма ""Клюква-сыр"" большая",Шаурма
73,шаурма классикасыр моцареллаананаслюбая добавка,0.46433502,0.4668274,0.4985964,0.4487989,0.55819005,0.4991517,70000001056052192,"Шаурма ""Ананас и моцарелла"" норм",Шаурма
74,шаурма классикасыр моцареллаананаслюбая добавка,0.46433502,0.4668274,0.4985964,0.4487989,0.55819005,0.4991517,70000001056052192,"Шаурма ""Ананас и моцарелла"" большая",Шаурма
77,шаурма классикажареный лукгрибысырлюбая добавкакапустаморковь,0.4721082,0.4616419,0.5027314,0.45456678,0.56211716,0.49467087,70000001056052192,"Шаурма ""Бургерная"" норм",Шаурма
78,шаурма классикажареный лукгрибысырлюбая добавкакапустаморковь,0.4721082,0.4616419,0.5027314,0.45456678,0.56211716,0.49467087,70000001056052192,"Шаурма ""Бургерная"" большая",Шаурма
81,сырников завтрак сырники кофе 😉подаем сгущенкой клюквенным соусом выбор,0.46825507,0.4711492,0.5005139,0.45049995,0.5537584,0.49370506,70000001056052192,Сырники,Завтраки
82,подаем любое время свежими горячими,0.47218323,0.4637758,0.50658965,0.45018816,0.5509039,0.4909404,70000001056052192,Сэндвич фирменный,Завтраки
83,идеально завтрака перекуса творожный сыр клюквенный соус банан завернуто лаваш,0.47029844,0.46421212,0.497773,0.45622876,0.56225896,0.49756882,70000001056052192,Сладкая шаурма,Завтраки
84,натуральный морс собственного производства,0.4736024,0.45836252,0.5032065,0.4540831,0.55076927,0.48892468,70000001056052192,"Морс клюквенный 0,5 л",Напитики
85,натуральный морс собственного производства,0.4736024,0.45836252,0.5032065,0.4540831,0.55076927,0.48892468,70000001056052192,"Морс клубничный 0,5 л",Напитики
86,натуральный морс собственного производства,0.4736024,0.45836252,0.5032065,0.4540831,0.55076927,0.48892468,70000001056052192,"Морс облепиховый 0,5 л",Напитики
93,35 мл,0.48119837,0.4614605,0.5091379,0.46481147,0.5295095,0.49096027,70000001056052192,Эспрессо,Напитики
94,70 мл,0.48136643,0.4654533,0.5119626,0.46510524,0.5321193,0.48678285,70000001056052192,Эспрессо,Напитики
95,70 мл,0.48136643,0.4654533,0.5119626,0.46510524,0.5321193,0.48678285,70000001056052192,Лунго,Напитики
96,70 мл,0.48136643,0.4654533,0.5119626,0.46510524,0.5321193,0.48678285,70000001056052192,Макиато,Напитики
103,170 мл,0.4825156,0.46438542,0.5034459,0.46267736,0.5339507,0.48891985,70000001056052192,Черный кофе,Напитики
104,210 мл,0.48305976,0.46699786,0.5076039,0.46768013,0.53079,0.4886703,70000001056052192,Американо,Напитики
