address_name,id,name,type,general_rating,avg_price
"Усова, 19а",70000001056052192,"Шаурмания, кафе быстрого питания",branch,4.3,270
"проспект Ленина, 62",70000001039197290,"Барин, коктейльный бар",branch,4.6,1200
"Московский тракт, 40",70000001007548790,"Шашлычный дом, кафе",branch,4.4,230
"Смирнова, 5",70000001069065093,"Ватан, кафе",branch,4.8,500
"Нахимова, 2",70000001065471097,"ПхиПхи, ресторан паназиатской кухни",branch,3.9,1000
"Обруб, 6",70000001033092714,"TomYumBar, кафе паназиатской кухни",branch,3.6,1000
"Розы Люксембург, 16",70000001019311632,"The burger lab, гастробар",branch,4.2,600
"Розы Люксембург, 79",422741746350056,Dolce,branch,4.5,350
"Кооперативный переулок, 2",70000001006736825,"Река 827, ресторан авторской кухни",branch,4.4,1700
"проспект Ленина, 1в",70000001032182633,"Мама, я дома!, ресторан грузинской кухни",branch,4.1,1700
"площадь Ленина, 10",70000001034727703,"Пряности и радости, ресторан",branch,4.0,2500
"Учебная, 46",70000001044756053,Highlight Bar,branch,4.6,1200
"улица Кулёва, 24",70000001024362908,"КУХНЯ, повар-бар",branch,4.2,360
"Усова, 9Б",70000001026873949,"Территория Кофе, экспресс-кофейня",branch,4.4,200
"улица Дзержинского, 34/3",70000001075243532,Елань,branch,5.0,0
"переулок Нахимова, 2",70000001043339969,Subway,branch,3.1,300
"улица Красноармейская, 151/1",422740746299978,"Колобок.Ру, сеть кафе уютной кухни",branch,3.9,180
"улица Гагарина, 2",422740746052944,"Инжир, ресторан",branch,4.2,1500
"проспект Ленина, 121",422740746242398,"PastaMama, кафе итальянской кухни",branch,3.6,1200
"проспект Мира, 19а",70000001029069533,"ХинКали-GaлИ, кафе",branch,3.5,550
"улица Гагарина, 2",422740746095314,"Бамбук, ресторан паназиатской кухни",branch,4.1,1500
"проспект Фрунзе, 77",70000001065542142,"Додо Пицца, сеть пиццерий",branch,4.1,514
"Яковлева, 59",70000001041145942,"Ё, служба доставки суши и роллов",branch,4.1,0
"Асфальтовый переулок, 8",70000001029908413,"Бургер Кинг, сеть ресторанов быстрого питания",branch,2.5,450
"проспект Фрунзе, 90",70000001029574004,"Гости, кафе",branch,3.9,800
"переулок Макушина, 12",70000001066379205,"Glogg, ресторан",branch,4.8,0
"Карповский переулок, 12",70000001007410397,"Байкал, кафе",branch,4.2,300
"Ново-Соборная площадь, 2",70000001066101507,Nova,branch,3.5,825
"улица Кулёва, 26",70000001038511964,"Santa Monica, кафе",branch,4.3,1000
"Иркутский тракт, 61 ст12",422740746080455,"Шустофф, ресторан",branch,4.2,1800
"улица Красноармейская, 122г",70000001036187192,"Мыльная опера, караоке-клуб",branch,3.5,1500
"проспект Ленина, 41",70000001052467336,"El Mucho Bar, латиноамериканский гастробар",branch,4.2,0
"улица Котовского, 19",70000001035530724,"Бульвар, кафе",branch,4.5,1500
"Иркутский тракт, 68",70000001028323706,"ЗдесьВамНеТам, ресторан",branch,4.3,790
"Пролетарская, 38/7",70000001053657643,Доставка Саша варит,branch,4.1,0
"Розы Люксембург, 16",70000001024853369,"Антрекот, стейк-хаус",branch,4.4,1000
"Усова, 11Б",70000001059971139,"Kannam Сhicken, кафе корейской кухни",branch,4.6,600
"улица Елизаровых, 27а",70000001067269176,Garage,branch,3.3,0
"улица Красноармейская, 135",70000001045193961,"А мы тут плюшками балуемся, кафе-пекарня",branch,4.0,0
"проспект Ленина, 97",70000001034903505,"Pho Tigers, кафе азиатской кухни",branch,4.1,600
"Карла Маркса, 11а",422740746183350,"ПабиК, бар",branch,4.1,1200
"Трифонова, 22 блок А",70000001006338388,"Галерея, гриль-бар",branch,4.3,400
"проспект Ленина, 82а",70000001045371342,"Пицца cиница, пиццерия",branch,3.7,495
"улица Алексея Беленца, 9/1",70000001048132291,"К ПАПЕ НА`PIZZA, гастробар",branch,4.6,1000
"Комсомольский проспект, 70",70000001032775451,"Союз, кафе",branch,4.3,1100
"Нахимова, 8Б",70000001032599537,"Йохан пивохан, ресторан-пивоварня",branch,2.6,0
"проспект Фрунзе, 86",422740746245946,"Панда, семейный ресторан",branch,4.2,900
"улица Красноармейская, 101а",422741746676019,"Шашлыкоff, гриль-бар",branch,4.1,500
"набережная реки Ушайки, 8",70000001046829423,"Сыроварня, ресторан",branch,3.7,2500
"Усова, 6 ст12",70000001043512961,"Yoki Toki, кафе",branch,3.3,350
