address_name,id,name,type,general_rating,avg_price,reviews
"Усова, 19а",70000001056052192,"Шаурмания, кафе быстрого питания",branch,4.3,270,"['Очень вкусная шаурма, прям реально! Впечатлил фирменный соус, выше всяких похвал 🤌🏻 долго смотрел на клюква-сыр, но не решился, взял сырную и не пожалел 😁 в следующий раз созрею на клюкву😅 «нормальная» шаурма реально большая, расчитывайте силы😂 и морс классный! Успехов вам!', 'Очень вкусная, сочная, много начинки.', 'Шаурма пальчики оближешь!', 'Все круто все идеально\nВсе так очуменно но так банально', 'Шаурма очень вкусная. Брал острую шаурму за 230 рублей, невероятно острая и сочная🔥Всем советую кто любит шаурму, особенно острую😉', 'Нормальная шаурма, покупал классическую 230р большая, мясо вкусное. Другие вкусы можно сказать дороговатые, в другом месте дешевле, но тут не пробовал, сказать не могу, может стоит того.\n\nНе бульте парня стажёра, а объясните ему лучше чо как, он делает хорошую шаурму! \n\nUpd: 15.05.2023: классическая шаурма стала не вкусная, не ел примерно месяц. Снизил оценку. \nUpd: 15.05.2023, 13:00, я как-будто только лук жрал в уксусе. Снизил ещё две и того, держите 1.\n(Парня прошлого не было). ', 'Вкусная еда, приветливый персонал, быстро готовят', 'Посетил данное заведение 29.04.. Брал большую острую шаурму.\nМинус- острота не равномерно распределена по начинке, курица  сухая.\nСтол чистый но поверхность липкая (стол у вешалки для верхней одежды). \n\nОтзыв честный,не заказ.', 'Отвратительная шаурма, взял классику, дорого для такого объема и не вкусно.Морковки напихали много, вкус перебивает.', 'Это не шаурма, это тошниловка! Мяса нет от морковки корейской один вкус, классический хрен наешься. Деньги на ветер', 'Очень вкусная , сытная, сочная шаурма! 👍', 'Модеры удаляют нежелательные отзывы.\n\nНапишу второй раз...\nШаурма была не соответствующего размера, капуста внутри была горькая.\nЕщё раз туда бы не зашли.']"
"проспект Ленина, 62",70000001039197290,"Барин, коктейльный бар",branch,4.6,1200,"['Замечательно и весело!спасибо 🥰', 'Атмосферный бар, отличная музыка и персонал. Вкусные напитки', 'Очень весело и круто!спасибо', 'Просто топовое заведение!с ахеренной кухней и глубокими кальянами.Ребята вы лучшие,Ван лав!!!!', 'Отличное место, советую всем )))))', 'Крутое место, всём советую', 'Обалденное заведение, музыка хорошая , а подача невероятно быстрая', 'Один из самых лучших баров города, очень вкусные коктели, придем к вам еще', 'Место прекрасное, обслуживающий персонал на уровне. Само заведение очень красивое и удобное. Бармены делают прекрасные и вкусные коктейли.\nЕда тоже вкусная.\nПриятно находится в таком месте, спасибо огромное за доставленные удовольствие!!!!!', 'Хорошая музыка ,гостеприимные официанты, прохладоо', 'Заведение интересное, обстановка атмосферная нет в основном зале кондиционера, но есть в караоке, приятно посидеть и выпить', 'Отличный бар']"
"Московский тракт, 40",70000001007548790,"Шашлычный дом, кафе",branch,4.4,230,"['Сочные стейки, приготовленные в тандыре - безумно вкусные. Попробуйте обязательно, если будете здесь.', 'Шашлык мне не очень понравился. Он не плохой, но и не самый лучший как мне говорили друзья. Я бы добавила больше овощей свежих в меню. А так все хорошо.', 'Была бы возможность поставить меньше, поставил бы меньше. 08/06 заказали на вынос шашлык и антрекот из баранины. Забираем заказ, а там даже не сухое мясо, там просто угли. Салат свежий, персонал вежливый или с чувством юмора «приятного аппетита» пожелали.', '08.06 заказали три свинины и один люля в лаваше с кетчупом и луком. Приехали на берег и каково было удивление, ни лука ни кетчупа не было. Всё было сухое!', '1.06.23 в горсаду работала лавка с шашлыками у сцены, заказали один куриный, и два свинины. Готовили минут 10. Свинина пересушена, соленоватый шашлык, ещё и жирный в плане не мясо, а как будто сало. 250 руб шашлыки стоили, 5 кусочков не больших на каждом шампуре. Куринный единственный вкусный был. Лепешки посчитали две, дали только одну , подошли попросили с чеком вторую. Парни торопятся, обманывают, через каждого просто, то одно не отдали , то посчитали не так.', 'С большим заказом справились успешно, по времени не затянули, всё что заказывали всё на месте. Мне и гостям блюда зашли, с этой шашлычки заказывали впервые. Пятого июля у близкого друга юбилей будет, заказывать теперь уже знаем откуда 😉', 'Отвратительно! Был испорчен день рождения! 06.06.2023 Приехали купить шашлык для угощения гостям, персонал нажарил завернули в пакеты, а когда мы начали накрывать на стол дома, выяснилось, что он пережаренный! Угли, а не шашлык! Конечно, обратно не поехали, надо было гостей чем-то угощать. Но больше обращаться сюда не будем! И другим не советуем.', 'Начну по порядку:\nПосле оплаты достала морс и он каким-то образом был не до конца закрыт, потрясла его и моя белая кофта ушла в мусорку, спасибо\nЗаказала салат, чтобы не сидеть долго без еды, про меня благополучно забыли, через 20 минут пришла попросить салат, приходит официантка с другим салатом, нож падает на стол прям в соус))))\nВ итоге пошла менять салат и забыла про него, принесли вместе с мясом, хотя он уже был не нужен\nОтвратительные впечатления и выкинутая вещь', 'Купили шаурму, самсу с говядиной и салат из маринованных овощей. Мясо в шаурме хорошее, но сама шаурма сильно разваливается, овощи невкусные от слова совсем, начиная от помидор и заканчивая салатом, еще непонятно зачем добавили в нее картошку, еще и переваренную . В самсе чувствуется только вкус теста, лук по ощущениям какой-то резиновый как и мясо. Салат тоже безвкусный. За что такие цены - непонятно. 2 звезды за приветливый персонал.', 'Место очень атмосферное и хорошее. Очень вкусно все. Посидели с душой и от души.', 'К пиву понравились сердечки с перцем, первый раз попробовал такое сочетание, раньше в основном к пенному брал либо куриный либо кальмар, для разнообразия теперь и сердечки иногда брать буду 😊', 'Ужасная доставка!\nПоловину блюд не привезли,так еще и в стандартных порциях 3 куска всего. \n\nБольше никогда не будем заказывать!']"
"Смирнова, 5",70000001069065093,"Ватан, кафе",branch,4.8,500,"['Хочу рассказать о этом заведение. Был первый раз со всей своей семьёй. Сначала подумал что попал в какой-то музей или ресторан , а это хорошее кафе где можно покушать очень ВКУСНО, СЫТНО а главное не ДОРОГО!!!! Цены приемлемые для такого кафе . Вообще мы все остались довольны . PS.Вобщем как говорят лучше один раз попробовать, чем сто раз услышать .', 'Последнее посещение успортило всё представление о заведении. \nВ греческий салат зачем-то положили кинзу и укроп. Но совсем не положили перец. Повару надо выучить рецепт салата. Нарезка обычного овощного салата, хотя греческий режется кубиками. На замечание по поводу кинзы, сказали что повар переделает салат. Он просто выбрал кинзу и подал обратно. В принесенном салате осталась кинза.\nК шашлыку не положили ни кетчупа, ни соуса. Лук можно было замариновать, как это делали в прошлые разы.\nБольше в Vatan не вернемся и никому не посоветуем.', 'Интерьер интересный, очень понравилось заведение, и готовят вкусно !', 'Превосходное место', 'Тут были два раза.очень понравился все еда на высоком уровне. РЕКОМЕНДУЮ ВСЕМ', 'Интерьер на ВЫСШЕМ УРОВНЕ! Ребята, очень вкусно, молодцы', 'Красиво, вкусно, недорого! Но не хватает дессертов! И беда с зеленой подсветкой, уберите ее совсем, портит всю красоту и глаза от нее болят. Удешевляет интерьер. За подсветку -1. За кухню, интерьер и обслуживание 5.', 'Потрясающее место 🤩 были проездом, приезжали на соревнования по КУДО. Удивила царская красота в стиле Таджикистана. Очень порадовали достаточно не высокие цены 👍🏻', 'Отличное место! Были гостями города, даже на следующий день сюда же вернулись… вкусно, красивый интерьер, внимательный официант', 'Отличное кафе!', 'Очень красивое помещение, не видела подобных в городе. Плюсом хочу выделить полную тишину в зале, нет раздражающих фоновых песен, можно спокойно поесть и поговорить. Еда вкусная, очень понравился люля-кебаб.', 'Место для души и вкусного ужина. Очень нам у вас нравится.']"
"Нахимова, 2",70000001065471097,"ПхиПхи, ресторан паназиатской кухни",branch,3.9,1000,"['Дизайн этого ресторана меня покорил сразу, я поняла, что теперь это мое любимое заведение \nКухня очень вкусная, я уже попробовала почти все меню и даже детское\nИ, конечно же, очень важно, тут очень внимательные ребята работают. Я просто не представляю как при полной посадке они не упускают ни одной просьбы гостя (со мной было именно так). Я видела к скольким столикам официант подошёл после нас и примерно понимаю сколько просьб он услышал от других гостей, но не забыл про нас и через минуту уже принес нам дополнительные приборы и соус.\nСпасибо вам за вас!', 'Я был уже несколько раз в этом ресторане, мне очень нравится атмосфера, замечательный обслуживание и вкусные блюды особенно роллы и том ям!', 'Отличный ресторан паназиатской кухни! Великолепные десерты!', 'Отмечали день рождения. \nОчень понравилось! Даже слишком! \nБыли очень приятно удивлены. \nБлюда супер! Все очень вкусно, свежие продукты. \nОфициантка Анжелика замечательная! Просто лапочка💕\nК празднику подавался тортик от заведения. Официант произнес свои пожелания. \nИнтерьер интересный. В городе такого мало. \nОчень хочется вернуться вновь!', 'Вчера посетил ресторан впервые, но точно не в последний раз! Очень приятная атмосфера, вкусная еда и отзывчивая Арина, которая обслужила нашу компанию на высшем уровне🥰', 'Очень вкусно и цены довольно недорогие', 'Я бы хотела поставить самую высокую оценку этому заведению, ни смотря на долгое ожидание блюд, на духоту в помещении и испорченный вкус угря в роллах. Но получилось так что я отравилась посетив это заведение в субботу, брала хрустящий ролл с креветкой и угрём. Теперь неделю сидеть дома. Очень жаль, я очень хотела посетить это место и оно бы не разочаровало меня, если бы не отравление.', 'Здравствуйте, был здесь уже 2-ой раз, приятный интерьер, прекрасное обслуживание, кухня заслуживает отдельного внимания так это 9-ое чудо света. Были тут с коллегой и все понравилось просто на 10/10. Желаю продолжать в том же духе и становиться только лучше.\nБог создавал Землю 6 дней а на 7-ой день создал ресторан Паназиатской кухни ПхиПхи', 'Второй раз не пришли бы. Не очень уютно. Возможно, из-за открытой кухни в воздухе стоит специфический запах.  Не понравились гедзы. И не понравился том ям (на мой взгляд, не насыщенный, слишком  томатный, кокосового молока  не чувствуется. Съестной, но очень посредственный.  В панде лучше.', 'Одно из любимых мест. И кухня, и люди, и интерьер❤', 'Ставлю пять звезд! Во-первых, достаточно слаженная работа в ресторане. Во-вторых, заказы приносят быстро, да, бывает так что при полной посадке блюда опаздывают, но оно и ясно почему. Все работники вежливые, при просьбе помочь - помогают. В ресторане всегда приятно находиться, благодаря, приятной музыке и интерьеру. \nОбязательно вернусь!', 'Приятная атмосфера, потрясающая кухня. Очень рада, что в городе появилось заведение с качественными азиатскими блюдами. Придем еще не раз ❤️\nЕдинственный нюанс, слабовато работает кондиционер. Заходя после жары в помещение, хочешь оказаться в прохладе. ']"
"Обруб, 6",70000001033092714,"TomYumBar, кафе паназиатской кухни",branch,3.6,1000,"['Обслуживание ниже среднего. Официантов не дозовешься. Блюда выносили быстро, но это были всегда разные официанты. Чтобы сделать дозаказ(если вы присели на веранде) нужно идти в помещение и искать официантов, просто так к вам никто не подойдет )))', 'Хорошая кухня, люблю паназиатскую, особенно том ям, том кха! Прям обожаю', 'все отлично, демократично) хорошая кухня с ценами сойдет))', 'Все вкусно', 'Пришли с мужем поужинать вкусной азиатской едой,но в итоге поели пресную безвкусную🥴\nКак можно испортить Филадельфию,непонятно до сих пор…\nВок был пресный,кофе горчило из-за большого количества сиропа (неохотно согласились переделать,но и переделанный было невозможно пить,сказали всё по ТК делают и ничего менять нельзя).\nПолное разочарование в данном заведении, больше не придем сюда.', 'Интерьер интересный, НО кухня это на 2 из 5. Сервис обслуживания 3 из 5. Стоимость блюд не соответствует качеству приготовления блюд. Детское меню далеко не детское. Вообщем после посещения данного заведения остались разочарованы.', 'Хорошее место, высокие потолки, окна в пол, открытая кухня. Заказывали том-ям с морепродуктами с одним перцем, вкусно. Роллы с угрем очень понравились. \nНе понравился только блин с мороженым и бананом: тесто невкусное.\nОбслуживание хорошее.', 'Все очень вкусно, но кресла неудобные.', 'Посетили вчера данное место. Предварительно забронировав стол на летней веранде. \nПришли в кафе, передумали сидеть на летней веранде и попросили администратора посадить нас за стол внутри кафе (занятых столиков было от силы штуки 3), нас посадили за ""самый ущербный стол"", который шатался. Кресла на столько низкие, что нужно подкладывать себе под попу подушки. Мы решили пересесть все таки на веранду. На салфетнице куски пыли с дороги, весь стол в песке. Попросила протереть стол, выражение было такое у официанта, будто мне сейчас вот-вот плюнут.\nПришли еще гости, которых посадили за этот же неудобный стол внутри кафе. Они так же сбежали за другой с этого места. \nАдминистратору вообще все равно, что происходит в зале, почему гостям не удобно...каменное безразличное лицо девушки перемещалось по залу, будто под пытками ее заставили работать.\nБлаго вкус блюд неизменен у вас, том ям самый лучший в этом городе и жаль, что подобные кадры портят о вашем заведении впечатление. Поварам огромное спасибо за профессионализм.', 'Отличное заведение. Еда вкусная, а котик просто шедевр', 'Отличный бар, вкусный том ям!', 'Вчера заходили на обед по новому адресу, уютно в целом хорошо, лица остались те же, обслуживание пойдет, еда вкусная - ничего не поменялось кроме месторасположения)']"
"Розы Люксембург, 16",70000001019311632,"The burger lab, гастробар",branch,4.2,600,"['Место с отличными бургерами, вежливыми и чуткими сотрудниками и крутой атмосферой. \nРекомендую', 'Внуки постоянно заказывают тут! Балуют деда)', 'Долго несли коктейли, но вкусно и красиво', 'Шикарный вкус американского бургеры, не маленький размер, адекватный ценник, ооочень вкусные коктейли, которые попкорн, мармеладный, и имбирный. Надеюсь ещё вернёмся сюда снова😊', 'Добрый день!были у Вас 24.05.2023.гости из Уфы.понравились бургер и очень вкусные настойки!отдельное спасибо официанту Екатерине за подарок в виде двух лимончелл !', 'Вкусные бургеры и коктейли', 'Были у вас на завтраке, очень понурилось, вкусно, сытно и относительно количества блюд недорого!', 'Заходил вчера 19.05 на ужин с ребенком бургер норм, а макароны переваренные и залитые сыром превратились в единый не вкусный комок, сказали что передадут жалобу повару, надеюсь исправятся…', 'пришли сюда, как туристы из Кемерово, обязательно вернёмся! очень вкусные бургеры, вежливые мальчики, улыбчивые. классная атмосфера, чистота, приятные туалеты. очень вкусно', '5 за вкусные нежирные, но сочные бургеры, андерграундная обстановка, вежливый персонал.', 'Очень вкусные напитки и бургеры! Картошки фри только было очень мало🤣', 'лучшие бургеры томска,проверено!)']"
"Розы Люксембург, 79",422741746350056,Dolce,branch,4.5,350,"['В качестве гостя в Томске я уже пятый раз, но первый раз посетила это кафе, и пожалела, что не заходила раньше! Так все вкусно!!! Быстро, красиво и уютно \U0001faf6🏼прекрасное начало дня, в самое сердечко❤️', 'Прекрасное место, всем советую', 'Приятная атмосфера, не навязчивая музыка. \nКофе мне понравился. Также заказали кесадилью, 10 из 10. Сытно, 2 свежих соуса. \nЗа пироженку поставила бы 8 из 10. Достаточно вкусно, но будто чего-то не хватает. \nВ общем, посещение довольна.', 'Всё отлично', 'Отличное место для завтрака и вкусного кофе с нежным десертом😊Захожу не в первый раз и очень люблю кофе с кедровыми орешками, да и десерты выше всяких похвал, особенно Сникерс, на фото фисташка-малина, тоже очень вкусная😋😋', 'Почему вы вообще существуете? Начиная с интерьера, заканчивая обслуживанием и вкусом еды..все просто отвратительно. Повелись на среднюю оценку 4,4 и решили заехать..полное разочарование!', 'Пицца великолепна, кессадилия вкусна, крем суп хорош, темное пиво в меру горько, желания клиента учитываются, ожидание быстро. Рекомендую!', 'Лучшее кофе в городе здесь!', 'Уютно здеь', 'Очень уютное место с приятной атмосферой и вкусной едой. Спасибо за хорошее настроение!', 'Чудесное место для семейного отдыха, великолепный сервис и отличная еда.', 'Довольно часто приходится завтракать вне дома, поэтому вибираю данное кафе, по принципу, с 8-11 якобы бесплатная каша, так вот. Если вы не проследите, то вам ее включат в чек и это не первый раз уже такое. Возможно ваши официанты не в курсе, что происходит в кафе, и все акции проходят без их ведома? Советую выбирать другое заведение, либо следить, каждый раз что вам насчитали.']"
"Кооперативный переулок, 2",70000001006736825,"Река 827, ресторан авторской кухни",branch,4.4,1700,"['Ресторан супер, вежливый и отзывчивый персонал, все очень вкусно. Быстрая подача блюд.', 'Приятное место, вкусная еда и чуткий персонал.', 'Прекрасное обслуживание и вкусная еда', 'Прихожу в ресторан третий раз с удовольствием. Спокойная обстановка, добродушные официанты, приветливый администратор. Сегодня были на открытой веранде. Вид на реку Томь. Заказывали десерты, в честь окончания учебного года. Очень вкусно, дома так не приготовишь. Спасибо за уютную обстановку.', 'Отличное заведение, шикарный панорамный вид на реку. Приятная атмосфера, вежливый персонал. Огромная благодарность официанту Артуру, вежливый, внимательный, отлично разбирается в меню. Обслуживание на высшем уровне. Так же хочется поблагодарить кухню за прекрасное и вкусное приготовление блюд. Весьма были удивлены комплиментом от Шефа, было очень приятно. Придём ещё раз)', 'Отличный ресторан. Огромный плюс, что есть летняя терасса. Великолепный сервис и блюда, детское меню замечательное, ребёнок в полном восторге!Спасибо шеф повару за приятные вкусовые ощущения и подачу блюд. Спасибо официанту Артуру за качественный сервис, индивидуальный подход и рекомендации. Обязательно вернёмся ещё раз. Гости из Новосибирска!', 'Авторский чай наливают в кофейные чашки...', 'Очень вкусно, приветливый персонал, внимательный официант Артур, приятный интерьер, благодарю за отличный ужин!', 'Посетили ваш ресторан 08.05.2023 г, визит совпал с нашей Годовщиной Свадьбы, поэтому выбор был не случайный, т.к. в городе Томск мы были в первый раз и хотели чтобы Праздник нашей семьи прошёл достойно и отразился в наших Сердцах тёплым шлейфом положительных эмоций! Обслуживал нас молодой парень, к сожалению не запомнили имя, а при желании перевести чаевые был указан другой официант. Мы расположились на летней веранде, иргала расслабляющая музыка, нам повезло с погодой - тёплый ветер развивал наши волосы, а игра Солнца на волнах навеяла наш Любимый Байкал! Блюда - это отдельная опера Сольери!!! Комплемент в виде суфле из ботата с гренкой ввиде клинового листа...мммм...салаты в новом прочтении: тартар из тунца с авокадо и кампрезе сразу нам дали понять, что с заведением мы не ошиблись и ужин пройдёт на ура! Вежливость и подача блюд официантом тоже произвило на нас впечатление - отзыв по большей части основан на этих моментах. Отличный ресторан, наша Годовщина Свадьбы прошла на УРА, спасибо вам за вклад в наши чувства и эмоции!!!', 'Ценовая категория абсолютно не соответствует уровню заведения. \n1. Кофе принесли задолго до горячего блюда.\n2. Салфетки поставили на стол только после напоминания.\n3. На летней веранде густая паутина между спинкой кресла и стеной (!!!) Ешь и смотришь на неё. \n4. На летней веранде очень громкая музыка. Быстро устаёшь и хочется уйти. \n5. Вход на веранду со стороны набережной закрыт. Люди постояно пытаются зайти и уходят искать другой вход. Сложно повесить указатель?\nПолное неуважение к клиентам.', 'Очень вкусные блюда и внимательный персонал!', 'Вкусно, отличная подача блюд, особенно понравилось подача десерта Павловой, очень вежливое обслуживание, внимательные официанты. Удивил комплимент от шеф повара.']"
"проспект Ленина, 1в",70000001032182633,"Мама, я дома!, ресторан грузинской кухни",branch,4.1,1700,"['Я не первый раз у вас и каждый раз все больше нравится . Все очень вкусно, быстро и приятно . Молодцы вообще 👍👍👍. К вам реально можно прийти и вкусно поесть и отдохнуть . Ну просто ресторанчик 🔥🔥🔥', 'Делали заказ на доставку. Принесли блюдо из которого все вытекло, все салфетки, пакет в жиру. Упаковка на доставку прямо не очень. Делали заказ второй раз из этого ресторана и в этот раз тоже самое. Прошу обратить внимания руководство на контейнеры, упаковку продуктов по доставке.', 'Уютная атмосфера, чисто, красиво. Готовят вкусную еду. Брали хинкали, хачапури и коктейли. Все очень понравилось!', 'Обожаю этот ресторан. Всегда безумно вкусно, атмосферно. Вежливый персонал, быстрое обслуживание!\nВсем рекомендую!\n', 'Зашли поужинать с подругой, так как были очень голодны, ранее здесь была и все было в порядке. Заказала салат с цыпленком гриль и шашлык из курицы. Заказ приняла официантка Александра - совсем неприветливая, блюда подавала будто бы это мы ей что-то должны, приятного аппетита не желала, хотя это элементарный сервис, который должен быть в заведение подобного типа, раз уж вы позиционируете себя как ресторан…\nТарелка с салатом вся в соусе, в итоге, когда мне его вынесли я передвинула тарелку и все руки в соусе…ладно я все протерла и приступила к еде. Потом еще и в этом же салате попалась какая-то ворсинка, в итоге я уточнила у официантки, салат забрали, потом просто другой официант Степан подошел и предложил убрать из счета/заменить/или же комплимент я согласилась убрать и на комплимент, в итоге комплимент не вынесли, о чем мы сообщили в конце, и вообще странно, что подобные ситуации решает не администратор и тем более не наш официант, который начал обслуживание. \n\nСервис: все одеты как попало - от хостес до менеджера; музыка периодически «орала», а иногда ее вообще не было. Хостес в джинсовой юбке и рубашке цвета фуксия, ребят, это кафе, а не ресторан)) апероль не очень был. Тесно. Стоит все столы близко друг к другу, убираются несвоевременно, официант болтает то на баре, то на хосте, а его стол машет\n\nИз плюсов: шашлык, конечно, действительно был вкусный, на этом все..', 'Заказывали доставку. Опишу просто: вкусно, быстро, хорошие порции. Все блюда соответствовали ожиданиям. Очень советую.', 'Были наслышаны об этом кафе много хорошего, решили убедиться сами.\nСупруг хотел по телефону забронировать столик. Ответили, что столики не бронируют.\nПриехали, на входе нам сказали, что столик нужно бронировать! \n\nМы в легком недоумении.\nДоговорились с хостес, что пойдём гулять в Лагерный сад и она сообщит нам , когда место освободится.\nМинут через 30 появилось свободное место, мы вернулись.\n\nНедоумение второе- свободных столиков полно, и пока мы сидели ( часа два их никто не занял).\n\nЧестно говоря, от кухни не в восторге, ела я пхали и вкуснее в Томске. Салат «Цезарь» тоже не на \n« отлично»,везде и всюду листья салата, ну через чур много салата.\nШашлык из курицы в принципе не плох.\nК сожалению, вернуться сюда вряд ли в ближайшее время возникнет желание', 'Был здесь несколько раз и всегда оставался доволен едой и обслуживанием. Хорошая грузинская кухня, много вкусных блюд', 'Очень хотелось бы, чтобы брали трубку🥲\nХотели забронировать столик,\nЗвонили 7 раз, позиция в очереди-один, но трубку так и не взяли!', 'Отличная кухня, приятный персонал, хостес Олеся посадила за лучшие столики🥰 официант Ксения приятно рассказала про все и обслужила! Место 10/10', 'Отличная еда, приятные официанты (обслуживал официант Макар - очень приятный молодой человек), атмосферная музыка. Рекомендую👍', 'Отличная атмосфера, интерьер, музыка. Вкусная еда, приятное обслуживание (отдельное спасибо официанту Макару).']"
